2025-06-15 15:37:27 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=2
2025-06-15 15:37:28 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=3
2025-06-15 15:37:29 | DEBUG    | __main__:985 | 发言阶段开始: day=1, current_speaker=4
2025-06-15 15:37:32 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:37:32] "GET /socket.io/?EIO=4&transport=websocket&sid=3n7fCoPehM7mCpaPAAAM HTTP/1.1" 200 -
2025-06-15 15:44:18 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:44:18] "GET / HTTP/1.1" 200 -
2025-06-15 15:44:22 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:44:22] "GET /socket.io/?EIO=4&transport=polling&t=PToY-oA HTTP/1.1" 200 -
2025-06-15 15:44:22 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:44:22] "POST /socket.io/?EIO=4&transport=polling&t=PToY-oP&sid=9yyUuPYrc8wbBsldAAAO HTTP/1.1" 200 -
2025-06-15 15:44:22 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:44:22] "GET /socket.io/?EIO=4&transport=polling&t=PToY-oR&sid=9yyUuPYrc8wbBsldAAAO HTTP/1.1" 200 -
2025-06-15 15:44:26 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:44:26] "GET /socket.io/?EIO=4&transport=websocket&sid=9yyUuPYrc8wbBsldAAAO HTTP/1.1" 200 -
2025-06-15 15:44:27 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:44:27] "GET /socket.io/?EIO=4&transport=polling&t=PToZ0BR HTTP/1.1" 200 -
2025-06-15 15:44:27 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:44:27] "POST /socket.io/?EIO=4&transport=polling&t=PToZ0Bm&sid=pj4_7v2afWtb7rV6AAAQ HTTP/1.1" 200 -
2025-06-15 15:44:27 | INFO     | werkzeug:97 | 127.0.0.1 - - [15/Jun/2025 15:44:27] "GET /socket.io/?EIO=4&transport=polling&t=PToZ0Bn&sid=pj4_7v2afWtb7rV6AAAQ HTTP/1.1" 200 -
2025-06-15 15:44:31 | DEBUG    | human_ai_game:423 | AI狼人2(玩家3) -> 4
2025-06-15 15:44:37 | DEBUG    | __main__:772 | --- 预言家行动已收集 ---
2025-06-15 15:44:37 | DEBUG    | __main__:777 | 预言家5  查验 0
